Modul;Modul-Nummer;Dozent;Credits;Semester;Termin;Art
Leadership;BAE5111;Dr. Dieter Lederer;3;1;Blockveranstaltung;Pflicht
Führung in Projekten;BAE5112;Sven Bemmé;3;1;Blockveranstaltung;Pflicht
Produktionsstrategie und Methoden;BAE5121;Dr. Kathleen Delang;3;1;Blockveranstaltung;Pflicht
Lean Management und Produktionsstrategien;BAE5122;Prof. Dr. Herbert Emmerich;3;1;Dienstag 13:45-15:15;Pflicht
Produktstrategie;BAE5131;Prof. Dr. Rainer Wunderlich;3;1;Dienstag 8:00-9:30;Pflicht
Marktorientierte Produktentwicklung;BAE5132;Prof. Dr. Rainer Wunderlich;3;2;Mittwoch 8:00-9:30;Pflicht
Prozessmanagement;BAE5141;Prof. Dr. Rebecca Bulander;3;1;Dienstag 9:45-11:15;Pflicht
Strategischer Einkauf;BAE5142;Prof. Dr. Moritz Peter;3;2;Dienstag 11:30-15:15;Pflicht
Forschungsmethoden;BAE5181;Prof. Dr. Rebecca Bulander;2;1;Dienstag 11:30-13:00;Pflicht
Interdisziplinäres Forschungsprojekt;BAE5182;nach Wahl;4;1;nach Wahl;Pflicht
Unternehmenssteuerung/Controlling;BAE5151;Prof. Harald Schnell;3;2;Mittwoch 9:45-13:00;Pflicht
KPI Management;BAE5152;Prof. Dr. Bettina Binder;3;1;Abwechselnd Dienstag und Mittwoch 15:30 bis 18:45;Pflicht
Management neuer Technologien;BAE5161 und BAE 5162;Prof. Dr. Bernhard Kölmel;6;2;Mittwoch 13:45-17:00;Pflicht
Cross-Border Cooperation;BAE5170;Prof. Dr. Ansgar Kühn;6;2;Blockveranstaltung;Pflicht
Capstone;BAE5191;Prof. Dr. Moritz Peter und  Prof. Dr. Raphael Volz;4;2;Mittwoch ab 17:00;Pflicht
Fokus Technik A;BAE5210;nach Wahl;3;1 oder 2;nach Wahl;Wahlpflicht
Fokus Technik B;BAE5220;nach Wahl;3;1 oder 2;nach Wahl;Wahlpflicht
Fokus BWL;BAE5310;nach Wahl;3;1 oder 2;nach Wahl;Wahlpflicht
Fokus BWL/Technik/Design;BAE5320;nach Wahl;3;1 oder 2;nach Wahl;Wahlpflicht
Fachwissenschaftliches Kolloquium;COL6996;nach Wahl;2;3;nach Wahl;Pflicht
Master-Thesis;THE6880;nach Wahl;24;3;nach Wahl;Pflicht
